                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.4941,                0.94749,                0.99055,                0.09197,                0.89658,                0.13202,                0.07971,                 1.0122,                  208.7,                0.62697,               0.008317,               0.008317,               0.008317
                     87,                 1.4765,                0.93915,                0.98999,                0.09206,                0.86013,                0.13588,                0.09124,                0.98967,                 226.98,                0.62837,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.4806,                0.93377,                 0.9911,                0.08416,                0.91641,                0.14626,                0.09333,                0.96211,                 205.53,                0.61879,              0.0082774,              0.0082774,              0.0082774
                     89,                  1.483,                0.93963,                0.99064,                 0.0778,                0.78694,                 0.1495,                0.11847,                0.98629,                 196.46,                0.62159,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.4867,                0.94747,                0.99051,                0.08877,                 0.8453,                0.15467,                0.10618,                 0.9639,                 205.55,                0.61754,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.4826,                0.95468,                0.98582,                0.09183,                0.87414,                0.15149,                  0.105,                 1.0006,                 207.21,                0.63047,               0.008218,               0.008218,               0.008218
                     92,                 1.4715,                0.93553,                 0.9846,                0.07616,                0.77978,                0.10137,                0.07298,                 1.0019,                 202.17,                0.62208,              0.0081982,              0.0081982,              0.0081982
                     93,                  1.477,                0.94044,                0.98619,                0.07541,                0.79744,                 0.1317,                0.10304,                0.99427,                 213.09,                0.62922,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.4847,                0.93405,                0.99019,                0.07472,                0.79166,                0.11793,                0.09027,                0.98773,                 223.97,                0.62775,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.4756,                0.93098,                0.98582,                0.08122,                 0.7859,                 0.1518,                0.11836,                0.99315,                 205.42,                0.62527,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.4734,                0.93884,                0.98329,                0.07519,                0.74802,                0.13675,                 0.1065,                0.99818,                 199.01,                0.62131,               0.008119,               0.008119,               0.008119
                     97,                 1.4781,                0.94489,                0.98664,                0.08872,                0.88882,                0.11208,                0.07301,                0.97644,                 197.63,                0.62509,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.4624,                0.92809,                0.98312,                0.07532,                0.80447,                0.12564,                 0.0952,                0.98223,                 201.07,                0.62218,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.4702,                0.94094,                0.98301,                0.07651,                0.78698,                0.12325,                0.09265,                0.96632,                 204.05,                0.62177,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.4714,                0.94208,                0.98663,                 0.0778,                0.76253,                0.13571,                0.10352,                0.98393,                 214.86,                0.62451,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.4672,                0.93331,                0.98084,                0.07478,                0.78713,                0.13508,                0.10792,                0.97328,                 209.24,                 0.6239,                0.00802,                0.00802,                0.00802
                    102,                 1.4521,                0.91659,                0.97925,                0.07612,                0.82032,                0.14402,                0.11149,                 0.9807,                 230.52,                  0.629,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.4682,                  0.926,                0.98286,                0.09299,                0.87175,                0.16904,                0.12257,                0.98021,                 224.92,                0.62923,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.4695,                0.93973,                0.98651,                0.07829,                0.76249,                0.12099,                0.09279,                0.99738,                 220.65,                0.62803,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.4616,                0.90667,                0.97825,                0.09157,                0.88733,                0.16361,                0.12324,                0.98178,                 195.77,                0.62976,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.4489,                0.93149,                  0.979,                0.07489,                0.77066,                0.13019,                0.09374,                0.99084,                 218.49,                 0.6299,               0.007921,               0.007921,               0.007921
                    107,                 1.4482,                 0.9182,                0.98024,                 0.0764,                0.76751,                0.10944,                0.08211,                0.96768,                 225.13,                0.62625,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.4506,                0.93235,                0.98428,                0.09246,                0.91161,                0.15371,                0.11063,                0.99098,                    200,                0.63036,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.4499,                0.92881,                0.97785,                0.09196,                0.87158,                0.16551,                0.10471,                0.99054,                 194.72,                0.62808,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.4539,                0.91509,                0.97913,                0.07796,                0.81328,                0.11166,                0.08434,                0.98214,                  213.8,                0.62575,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.4509,                0.92214,                0.98307,                0.07478,                0.76637,                 0.1176,                 0.0936,                0.97473,                  219.1,                0.62468,               0.007822,               0.007822,               0.007822
                    112,                 1.4513,                0.93185,                0.97891,                0.07592,                0.75451,                0.12775,                0.09716,                 1.0185,                 219.19,                0.63068,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.4461,                0.92789,                 0.9763,                0.09508,                 0.8889,                0.14157,                0.09711,                0.99412,                 206.27,                0.62569,              0.0077824,              0.0077824,              0.0077824
                    114,                  1.436,                0.92246,                0.97495,                0.08979,                0.91767,                0.11475,                0.07206,                0.97079,                 194.87,                0.61911,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.4365,                0.89306,                0.97878,                0.08759,                0.90872,                0.12635,                0.08738,                 0.9714,                 211.54,                0.62039,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.4431,                0.90632,                 0.9786,                0.08581,                0.88149,                0.16871,                0.12197,                0.98606,                 213.28,                0.62973,               0.007723,               0.007723,               0.007723
                    117,                 1.4358,                0.93234,                0.97962,                0.07837,                0.79163,                0.13905,                0.10972,                0.97555,                 191.16,                0.62408,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.4398,                 0.9044,                0.97893,                0.09351,                0.89845,                0.13833,                0.09695,                 0.9623,                 225.94,                0.62339,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.4248,                0.90276,                0.97171,                0.07575,                0.75615,                0.11398,                 0.0874,                0.99112,                 220.71,                0.62651,              0.0076636,              0.0076636,              0.0076636
