                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4945,                0.78781,                 1.0263,                 1.8098,                0.98273,                  1.013,                0.92892,                0.86815,                0.93559,                0.64407,                 1.5777,                0.80075,                 1.0643,                   1.84,                 1.0232,                 1.0512,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.5081,                0.79183,                 1.0324,                 1.8201,                0.98775,                 1.0159,                 0.9114,                0.87368,                0.93557,                0.65457,                 1.5747,                0.80403,                 1.0573,                  1.824,                 1.0429,                 1.0429,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.5019,                0.79362,                  1.033,                 1.8033,                0.99077,                 1.0185,                0.92296,                  0.886,                 0.9378,                0.66467,                 1.5717,                0.78621,                 1.0591,                 1.8517,                0.98355,                 1.0509,               0.008416,               0.008416,               0.008416
                     83,                 1.5034,                0.78652,                 1.0283,                 1.8201,                0.99589,                  1.011,                 0.9075,                0.90081,                0.93989,                0.66207,                 1.5668,                0.78076,                 1.0564,                 1.8204,                0.98665,                 1.0427,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.4929,                0.78494,                 1.0254,                 1.8046,                0.99246,                 1.0086,                0.92995,                 0.8796,                0.93707,                0.66014,                 1.5629,                0.78833,                 1.0559,                 1.8143,                 1.0145,                  1.045,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.5027,                 0.7889,                 1.0311,                 1.8114,                0.99246,                 1.0141,                0.90789,                0.88141,                0.92508,                0.64082,                  1.567,                0.78465,                  1.058,                 1.8366,                 0.9835,                 1.0502,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.4917,                0.78236,                 1.0249,                 1.8007,                0.96758,                 1.0107,                0.91403,                0.88791,                0.93151,                 0.6556,                 1.5629,                0.79477,                 1.0582,                 1.8477,                0.98121,                 1.0502,              0.0083368,              0.0083368,              0.0083368
                     87,                  1.481,                0.77392,                  1.028,                 1.7849,                0.96149,                 1.0141,                 0.9239,                 0.8672,                0.93093,                0.64553,                 1.5634,                0.79174,                 1.0611,                 1.8308,                 1.0059,                 1.0495,               0.008317,               0.008317,               0.008317
                     88,                 1.4909,                0.77456,                 1.0252,                 1.8169,                0.96296,                 1.0076,                0.92348,                0.87405,                0.93851,                0.66396,                 1.5634,                0.77639,                 1.0544,                 1.8394,                0.96482,                 1.0473,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.4867,                0.77341,                 1.0262,                 1.7915,                0.97393,                 1.0106,                0.91785,                0.88625,                0.93286,                0.64038,                  1.559,                0.78483,                 1.0525,                 1.8272,                 1.0059,                 1.0416,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.4818,                0.77045,                 1.0207,                 1.7998,                0.96524,                 1.0061,                0.93897,                0.90454,                0.93985,                0.65066,                 1.5751,                0.77773,                 1.0581,                   1.85,                0.97044,                 1.0509,              0.0082576,              0.0082576,              0.0082576
