                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.96208,                 1.7024,                0.75051,                0.99696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.51,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.96143,                 1.7025,                0.74795,                0.99744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.91,                      0,               0.004951,               0.004951,               0.004951
                    104,                 0.9574,                 1.6994,                0.74549,                0.99651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.99,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.96267,                 1.6991,                0.74912,                0.99717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.65,                      0,               0.004852,               0.004852,               0.004852
                    106,                 0.9595,                 1.6942,                0.74535,                0.99662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 836.77,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.95804,                 1.6998,                0.74706,                0.99628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.03,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.95652,                 1.6912,                0.74226,                0.99539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 836.38,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.95463,                 1.6895,                0.73988,                0.99462,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 835.65,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.95754,                 1.6916,                0.74447,                  0.996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 835.29,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.95394,                 1.6885,                0.73987,                0.99393,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 835.21,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.95269,                 1.6861,                0.73665,                0.99397,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 834.68,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.95341,                  1.681,                0.73845,                  0.993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    834,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.95282,                 1.6907,                0.73715,                0.99416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 833.21,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.95056,                 1.6765,                0.73289,                0.99262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 832.59,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.95095,                 1.6831,                0.73359,                0.99306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 831.38,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.94462,                 1.6737,                0.73079,                0.99184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  831.1,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.94636,                 1.6745,                0.73006,                0.99111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 830.02,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.94417,                 1.6724,                0.72776,                0.99034,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  829.1,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.94492,                 1.6742,                0.72535,                0.98962,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 827.95,                      0,              0.0041095,              0.0041095,              0.0041095
